humidity,temperature,age,quantity,producttype_Extruder,producttype_Gauge Machine,producttype_Pressure Cutter,producttype_Pump,failure_risk_score,predicted_failure,environmental_risk_score,final_risk_score,maintenance_priority,maintenance_priority_weight,esg_impact_score,esg_risk_level
36.06,40.43,5,66715,1.0,0.0,0.0,0.0,0.285,0,0.6616501950726005,0.4356600780290401,Medium,0.5,0.5163250975363002,Medium ESG Risk
84.52,83.01,10,33110,1.0,0.0,0.0,0.0,0.06,0,0.4188353459643816,0.2035341383857526,Low,0.2,0.26741767298219077,Low ESG Risk
45.66,84.39,1,24009,0.0,0.0,0.0,1.0,0.205,0,0.4120201917289052,0.287808076691562,Low,0.2,0.30751009586445255,Low ESG Risk
42.76,90.22,16,70347,0.0,0.0,1.0,0.0,0.11,0,0.6483898977802665,0.3253559591121066,Low,0.2,0.3971949488901333,Low ESG Risk
48.32,36.18,13,67379,0.0,0.0,1.0,0.0,0.265,0,0.4622802553582364,0.3439121021432946,Low,0.2,0.35064012767911823,Low ESG Risk
77.1,54.21,2,76658,0.0,1.0,0.0,0.0,0.255,0,0.5124531869767105,0.3579812747906842,Low,0.2,0.37272659348835524,Low ESG Risk
61.54,79.38,16,47533,0.0,0.0,0.0,0.0,0.33,1,0.5419179573916129,0.4147671829566451,Medium,0.5,0.4699589786958064,Medium ESG Risk
66.8,35.94,14,48998,0.0,0.0,0.0,1.0,0.47,1,0.3285454441339501,0.41341817765358,Medium,0.5,0.40527272206697507,Medium ESG Risk
27.48,90.39,1,43535,0.0,0.0,1.0,0.0,0.125,0,0.560640569145467,0.2992562276581868,Low,0.2,0.3578202845727335,Low ESG Risk
24.47,50.53,11,76409,0.0,0.0,0.0,0.0,0.43,1,0.4850655573824159,0.4520262229529663,Medium,0.5,0.4715327786912079,Medium ESG Risk
31.92,70.47,14,37277,0.0,1.0,0.0,0.0,0.085,0,0.5845326136053148,0.2848130454421259,Low,0.2,0.3577663068026574,Low ESG Risk
14.79,57.47,7,73497,0.0,1.0,0.0,0.0,0.51,1,0.5231239184916162,0.5152495673966465,Medium,0.5,0.514561959245808,Medium ESG Risk
54.06,42.1,3,23571,0.0,0.0,0.0,1.0,0.395,1,0.5590341003306587,0.4606136401322634,Medium,0.5,0.4980170501653294,Medium ESG Risk
7.34,55.62,11,56152,1.0,0.0,0.0,0.0,0.175,0,0.3612229462757565,0.2494891785103026,Low,0.2,0.27311147313787826,Low ESG Risk
62.24,79.47,14,67968,0.0,0.0,0.0,0.0,0.17,0,0.7131107894608147,0.3872443157843259,Low,0.2,0.4475553947304074,Medium ESG Risk
38.11,76.14,16,47846,0.0,0.0,0.0,0.0,0.265,0,0.527566185740022,0.3700264742960088,Low,0.2,0.38328309287001106,Low ESG Risk
95.42,94.48,15,73303,0.0,1.0,0.0,0.0,0.24,0,0.980753857156584,0.5363015428626337,Medium,0.5,0.662376928578292,Medium ESG Risk
86.71,67.29,14,26451,1.0,0.0,0.0,0.0,0.245,0,0.5479366766129404,0.3661746706451761,Low,0.2,0.3874683383064702,Low ESG Risk
69.98,35.05,17,35546,0.0,1.0,0.0,0.0,0.305,1,0.696762786042039,0.4617051144168156,Medium,0.5,0.5398813930210195,Medium ESG Risk
86.28,42.4,6,61016,0.0,1.0,0.0,0.0,0.355,1,0.5117477542697694,0.4176991017079077,Medium,0.5,0.46237387713488465,Medium ESG Risk
56.95,75.37,6,71437,0.0,0.0,1.0,0.0,0.09,0,0.5931083355913815,0.2912433342365526,Low,0.2,0.36355416779569083,Low ESG Risk
49.45,55.43,7,23581,0.0,1.0,0.0,0.0,0.205,0,0.5728153952100812,0.3521261580840324,Low,0.2,0.3879076976050406,Low ESG Risk
84.62,55.57,13,61201,0.0,1.0,0.0,0.0,0.295,0,0.5117477542697694,0.3816991017079078,Low,0.2,0.3843738771348847,Low ESG Risk
37.23,80.71,4,69823,0.0,0.0,1.0,0.0,0.065,0,0.6052718016231525,0.281108720649261,Low,0.2,0.3621359008115763,Low ESG Risk
19.44,39.44,5,29218,0.0,0.0,1.0,0.0,0.23,0,0.5812946778300982,0.3705178711320393,Low,0.2,0.3996473389150491,Low ESG Risk
18.06,49.25,2,40722,0.0,0.0,1.0,0.0,0.145,0,0.4712463794986022,0.2754985517994409,Low,0.2,0.3191231897493011,Low ESG Risk
54.63,72.72,2,78975,0.0,0.0,0.0,1.0,0.395,1,0.9708374254929016,0.6253349701971607,Medium,0.5,0.7039187127464508,High ESG Risk
36.43,90.2,7,36673,0.0,0.0,0.0,0.0,0.33,1,0.7861125553873236,0.5124450221549295,Medium,0.5,0.5920562776936618,Medium ESG Risk
35.38,72.66,3,70118,0.0,1.0,0.0,0.0,0.265,0,0.7579379429510964,0.4621751771804385,Medium,0.5,0.5584689714755482,Medium ESG Risk
46.04,44.93,7,50255,0.0,0.0,0.0,1.0,0.215,0,0.5538564449496838,0.3505425779798735,Low,0.2,0.38142822247484187,Low ESG Risk
44.43,79.4,11,53703,0.0,0.0,0.0,1.0,0.21,0,0.6719399497536017,0.3947759799014407,Low,0.2,0.4389699748768009,Medium ESG Risk
64.49,57.8,3,42208,1.0,0.0,0.0,0.0,0.31,1,0.4279502322214789,0.3571800928885915,Low,0.2,0.3469751161107395,Low ESG Risk
21.94,72.9,2,65276,0.0,0.0,0.0,0.0,0.35,1,0.4593206615537776,0.393728264621511,Low,0.2,0.37466033077688876,Low ESG Risk
29.58,91.04,12,35039,0.0,0.0,0.0,0.0,0.295,0,0.4909947412198568,0.3733978964879427,Low,0.2,0.37399737060992844,Low ESG Risk
40.4,75.07,6,31698,0.0,0.0,0.0,0.0,0.22,0,0.5378324541795977,0.3471329816718391,Low,0.2,0.3749162270897989,Low ESG Risk
42.56,49.6,14,25195,0.0,0.0,1.0,0.0,0.135,0,0.6065073588004598,0.3236029435201839,Low,0.2,0.38375367940022986,Low ESG Risk
98.33,54.0,10,24959,0.0,0.0,0.0,0.0,0.285,0,0.3809690622004317,0.3233876248801727,Low,0.2,0.31598453110021585,Low ESG Risk
70.65,67.46,14,40243,0.0,0.0,1.0,0.0,0.37,1,0.6769943272909863,0.4927977309163945,Medium,0.5,0.5494971636454932,Medium ESG Risk
88.09,50.38,7,25512,0.0,0.0,0.0,1.0,0.11,0,0.6831424313207378,0.3392569725282951,Low,0.2,0.4145712156603689,Medium ESG Risk
8.46,50.08,4,74602,0.0,1.0,0.0,0.0,0.27,0,0.6260527453512512,0.4124210981405005,Medium,0.5,0.49402637267562566,Medium ESG Risk
37.79,40.94,10,36420,1.0,0.0,0.0,0.0,0.165,0,0.3511798152217798,0.2394719260887119,Low,0.2,0.2650899076108899,Low ESG Risk
38.28,37.14,12,77391,0.0,0.0,0.0,1.0,0.185,0,0.4790129449756664,0.3026051779902665,Low,0.2,0.3350064724878332,Low ESG Risk
29.65,77.11,4,59841,1.0,0.0,0.0,0.0,0.115,0,0.599366884783146,0.3087467539132584,Low,0.2,0.3741834423915731,Low ESG Risk
86.92,58.06,4,61109,0.0,0.0,0.0,1.0,0.285,0,0.5079697672149173,0.3741879068859669,Low,0.2,0.3794848836074587,Low ESG Risk
68.08,60.27,8,23961,0.0,0.0,0.0,0.0,0.195,0,0.3625014826031969,0.2620005930412787,Low,0.2,0.2797507413015985,Low ESG Risk
98.96,86.47,2,57481,0.0,0.0,1.0,0.0,0.47,1,0.3236051671448068,0.4114420668579227,Medium,0.5,0.4028025835724034,Medium ESG Risk
52.08,78.42,1,43471,1.0,0.0,0.0,0.0,0.29,0,0.4392395736130901,0.349695829445236,Low,0.2,0.34661978680654504,Low ESG Risk
39.27,67.12,10,54440,1.0,0.0,0.0,0.0,0.455,1,0.5581267962520223,0.4962507185008089,Medium,0.5,0.5155633981260112,Medium ESG Risk
35.38,62.08,8,32261,1.0,0.0,0.0,0.0,0.21,0,0.3720323009858372,0.2748129203943349,Low,0.2,0.2890161504929186,Low ESG Risk
31.06,71.81,3,26374,1.0,0.0,0.0,0.0,0.2,0,0.530094733748769,0.3320378934995076,Low,0.2,0.36504736687438455,Low ESG Risk
43.08,89.69,11,41813,0.0,0.0,0.0,1.0,0.22,0,0.3504241445594668,0.2721696578237867,Low,0.2,0.28121207227973344,Low ESG Risk
97.07,70.55,5,29504,0.0,0.0,0.0,0.0,0.32,1,0.4850310131539541,0.3860124052615816,Low,0.2,0.3785155065769771,Low ESG Risk
62.76,45.73,10,49331,0.0,0.0,0.0,1.0,0.2,0,0.4282643691324326,0.291305747652973,Low,0.2,0.3141321845662163,Low ESG Risk
39.73,78.62,7,35641,0.0,0.0,1.0,0.0,0.275,0,0.3970048638900001,0.323801945556,Low,0.2,0.3210024319450001,Low ESG Risk
10.97,61.54,15,66498,0.0,0.0,0.0,0.0,0.235,0,0.4306878062508512,0.3132751225003405,Low,0.2,0.32584390312542555,Low ESG Risk
87.8,77.42,7,71690,1.0,0.0,0.0,0.0,0.175,0,0.5706892588532263,0.3332757035412905,Low,0.2,0.3778446294266131,Low ESG Risk
25.35,45.16,9,56467,0.0,1.0,0.0,0.0,0.48,1,0.511586174836974,0.4926344699347896,Medium,0.5,0.49979308741848694,Medium ESG Risk
11.66,76.95,2,61412,0.0,1.0,0.0,0.0,0.37,1,0.7900940586518601,0.538037623460744,Medium,0.5,0.60604702932593,Medium ESG Risk
64.27,80.07,4,34759,0.0,1.0,0.0,0.0,0.34,1,0.6614327098058692,0.4685730839223477,Medium,0.5,0.5327163549029346,Medium ESG Risk
49.99,65.28,4,36897,0.0,1.0,0.0,0.0,0.35,1,0.5411137834057723,0.4264455133623089,Medium,0.5,0.4755568917028862,Medium ESG Risk
75.12,43.35,13,78566,0.0,0.0,0.0,0.0,0.105,0,0.6082821265208814,0.3063128506083525,Low,0.2,0.3756410632604408,Low ESG Risk
62.53,55.99,5,66153,0.0,1.0,0.0,0.0,0.17,0,0.33649325910728,0.236597303642912,Low,0.2,0.25924662955364,Low ESG Risk
32.92,67.64,16,79025,0.0,0.0,0.0,0.0,0.19,0,0.7069659307341558,0.3967863722936623,Low,0.2,0.4504829653670779,Medium ESG Risk
63.72,57.06,12,23232,0.0,0.0,0.0,0.0,0.125,0,0.6644730688844214,0.3407892275537685,Low,0.2,0.4097365344422107,Medium ESG Risk
47.03,51.54,6,54014,1.0,0.0,0.0,0.0,0.12,0,0.4608460824420611,0.2563384329768244,Low,0.2,0.3064230412210306,Low ESG Risk
55.84,62.58,14,30028,0.0,0.0,0.0,1.0,0.085,0,0.811269630214421,0.3755078520857684,Low,0.2,0.47113481510721056,Medium ESG Risk
11.72,70.75,10,41264,0.0,0.0,1.0,0.0,0.365,1,0.8894492509258356,0.5747797003703342,Medium,0.5,0.6542246254629178,Medium ESG Risk
86.22,86.28,15,58330,0.0,0.0,0.0,1.0,0.175,0,0.5879918476262249,0.3401967390504899,Low,0.2,0.3864959238131125,Low ESG Risk
47.59,58.28,11,30617,1.0,0.0,0.0,0.0,0.17,0,0.5794429903102553,0.3337771961241021,Low,0.2,0.38072149515512765,Low ESG Risk
7.03,53.61,16,38902,0.0,0.0,0.0,1.0,0.235,0,0.806858975301305,0.463743590120522,Medium,0.5,0.5739294876506525,Medium ESG Risk
76.75,86.02,5,53877,0.0,0.0,0.0,1.0,0.28,0,0.4474967420602259,0.3469986968240903,Low,0.2,0.3477483710301129,Low ESG Risk
43.55,42.61,5,29097,0.0,0.0,1.0,0.0,0.14,0,0.4223497348692772,0.2529398939477109,Low,0.2,0.2931748674346386,Low ESG Risk
28.3,71.0,13,72521,0.0,0.0,0.0,1.0,0.165,0,0.6350864968380608,0.3530345987352243,Low,0.2,0.4070432484190304,Medium ESG Risk
63.17,47.12,12,40619,0.0,0.0,0.0,1.0,0.125,0,0.4985220790574904,0.2744088316229962,Low,0.2,0.32676103952874525,Low ESG Risk
52.48,52.15,12,26779,0.0,0.0,0.0,1.0,0.115,0,0.3438986453904027,0.206559458156161,Low,0.2,0.24644932269520137,Low ESG Risk
78.07,49.26,14,46075,0.0,0.0,0.0,1.0,0.115,0,0.6059360321519276,0.311374412860771,Low,0.2,0.3774680160759638,Low ESG Risk
45.44,85.89,5,23282,0.0,0.0,1.0,0.0,0.34,1,0.9246069136915196,0.5738427654766078,Medium,0.5,0.6643034568457598,Medium ESG Risk
99.25,54.93,16,74466,1.0,0.0,0.0,0.0,0.16,0,0.4259226776890729,0.2663690710756291,Low,0.2,0.30096133884453646,Low ESG Risk
68.15,39.06,4,61597,0.0,0.0,0.0,1.0,0.395,1,0.734268665073744,0.5307074660294976,Medium,0.5,0.585634332536872,Medium ESG Risk
73.26,80.93,9,48024,0.0,0.0,0.0,1.0,0.305,1,0.4539105347895068,0.3645642139158027,Low,0.2,0.3584552673947534,Low ESG Risk
65.8,68.06,6,33547,1.0,0.0,0.0,0.0,0.19,0,0.6948697750540701,0.391947910021628,Low,0.2,0.4444348875270351,Medium ESG Risk
67.2,85.76,12,73861,0.0,0.0,0.0,1.0,0.165,0,0.4208135807337876,0.267325432293515,Low,0.2,0.2999067903668938,Low ESG Risk
74.61,84.23,3,46278,1.0,0.0,0.0,0.0,0.285,0,0.8854788640446509,0.5251915456178604,Medium,0.5,0.6282394320223255,Medium ESG Risk
92.06,52.0,15,49083,0.0,0.0,0.0,0.0,0.305,1,0.4966627099718016,0.3816650839887207,Low,0.2,0.3798313549859008,Low ESG Risk
53.57,60.67,14,50615,0.0,1.0,0.0,0.0,0.285,0,0.4964491318935407,0.3695796527574163,Low,0.2,0.3737245659467704,Low ESG Risk
9.72,52.7,6,35432,0.0,1.0,0.0,0.0,0.12,0,0.423072073001599,0.2412288292006396,Low,0.2,0.2875360365007995,Low ESG Risk
8.28,83.43,15,69630,0.0,1.0,0.0,0.0,0.45,1,0.6360870904484798,0.524434836179392,Medium,0.5,0.5530435452242399,Medium ESG Risk
11.03,47.26,14,53295,0.0,1.0,0.0,0.0,0.44,1,0.5138292068752529,0.4695316827501011,Medium,0.5,0.4889146034376265,Medium ESG Risk
89.95,51.29,7,34726,1.0,0.0,0.0,0.0,0.1,0,0.4527137944588967,0.2410855177835587,Low,0.2,0.29635689722944836,Low ESG Risk
87.07,65.51,16,30420,0.0,0.0,0.0,0.0,0.355,1,0.3926583547902636,0.3700633419161054,Low,0.2,0.34282917739513186,Low ESG Risk
6.24,64.32,4,29450,0.0,0.0,0.0,0.0,0.56,1,0.2607950239708525,0.440318009588341,Medium,0.5,0.3983975119854263,Low ESG Risk
57.01,57.31,9,68246,0.0,0.0,0.0,0.0,0.345,1,0.922867652525574,0.5761470610102296,Medium,0.5,0.664933826262787,Medium ESG Risk
55.15,65.43,13,75729,1.0,0.0,0.0,0.0,0.105,0,0.3940769402738593,0.2206307761095437,Low,0.2,0.26853847013692966,Low ESG Risk
29.84,45.52,14,68336,0.0,0.0,0.0,1.0,0.135,0,0.3489127287755395,0.2205650915102158,Low,0.2,0.2549563643877698,Low ESG Risk
61.82,49.16,12,63057,1.0,0.0,0.0,0.0,0.13,0,0.5916908643549216,0.3146763457419686,Low,0.2,0.3748454321774608,Low ESG Risk
24.41,43.65,3,34483,0.0,1.0,0.0,0.0,0.315,1,0.4989302240035722,0.3885720896014288,Low,0.2,0.38396511200178607,Low ESG Risk
99.88,83.38,11,76795,0.0,0.0,1.0,0.0,0.505,1,0.573091147064131,0.5322364588256524,Medium,0.5,0.5380455735320655,Medium ESG Risk
36.67,42.63,10,48993,0.0,0.0,0.0,1.0,0.1,0,0.7227151018139892,0.3490860407255957,Low,0.2,0.4313575509069947,Medium ESG Risk
42.53,67.3,14,28359,1.0,0.0,0.0,0.0,0.23,0,0.8502335652650838,0.4780934261060335,Medium,0.5,0.5941167826325419,Medium ESG Risk
80.91,79.81,13,57232,0.0,0.0,0.0,0.0,0.38,1,0.3953792055885218,0.3861516822354087,Low,0.2,0.35168960279426087,Low ESG Risk
59.6,69.2,14,25881,1.0,0.0,0.0,0.0,0.2,0,0.2685602777082818,0.2274241110833127,Low,0.2,0.2342801388541409,Low ESG Risk
69.23,48.98,15,33983,0.0,0.0,0.0,0.0,0.11,0,0.3424280531748441,0.2029712212699376,Low,0.2,0.24421402658742206,Low ESG Risk
62.56,76.26,7,42979,0.0,0.0,1.0,0.0,0.24,0,0.3767519360827526,0.294700774433101,Low,0.2,0.30037596804137634,Low ESG Risk
83.79,87.11,13,25991,1.0,0.0,0.0,0.0,0.055,0,0.3748420499621138,0.1829368199848455,Low,0.2,0.24392102498105692,Low ESG Risk
12.96,51.33,10,52503,0.0,0.0,0.0,1.0,0.215,0,0.2508099371661585,0.2293239748664634,Low,0.2,0.22990496858307927,Low ESG Risk
50.96,74.43,16,39696,0.0,1.0,0.0,0.0,0.285,0,0.7225903674005747,0.4600361469602299,Medium,0.5,0.5467951837002873,Medium ESG Risk
42.2,49.28,5,27499,0.0,0.0,1.0,0.0,0.13,0,0.2411112977116711,0.1744445190846684,Low,0.2,0.19955564885583557,Low ESG Risk
75.71,55.54,16,47979,1.0,0.0,0.0,0.0,0.255,0,0.7791634863006403,0.4646653945202561,Medium,0.5,0.5660817431503201,Medium ESG Risk
92.95,60.33,10,38205,0.0,1.0,0.0,0.0,0.275,0,0.4923488132974138,0.3619395253189655,Low,0.2,0.3686744066487069,Low ESG Risk
27.94,47.54,1,33073,0.0,0.0,0.0,0.0,0.095,0,0.3996689391381504,0.2168675756552601,Low,0.2,0.2683344695690752,Low ESG Risk
32.65,43.1,11,23721,0.0,0.0,1.0,0.0,0.14,0,0.1878808896491477,0.1591523558596591,Low,0.2,0.17594044482457386,Low ESG Risk
8.19,92.65,11,60821,0.0,1.0,0.0,0.0,0.175,0,0.206657816861522,0.1876631267446087,Low,0.2,0.195828908430761,Low ESG Risk
34.81,48.06,16,35635,0.0,1.0,0.0,0.0,0.19,0,0.3298448898351362,0.2459379559340545,Low,0.2,0.2619224449175681,Low ESG Risk
51.89,66.04,9,57791,0.0,0.0,0.0,1.0,0.14,0,0.1878808896491477,0.1591523558596591,Low,0.2,0.17594044482457386,Low ESG Risk
13.19,55.84,3,29655,0.0,0.0,0.0,1.0,0.29,0,0.2810255227798885,0.2864102091119554,Low,0.2,0.2675127613899443,Low ESG Risk
59.46,78.68,2,56417,0.0,1.0,0.0,0.0,0.225,0,0.4159060065808118,0.3013624026323247,Low,0.2,0.31545300329040593,Low ESG Risk
9.55,90.95,14,79736,1.0,0.0,0.0,0.0,0.26,0,0.8600421711845033,0.5000168684738013,Medium,0.5,0.6080210855922517,Medium ESG Risk
50.83,89.48,11,28196,0.0,0.0,1.0,0.0,0.135,0,0.2616563467424733,0.1856625386969893,Low,0.2,0.21132817337123666,Low ESG Risk
72.44,61.29,14,32610,0.0,0.0,0.0,1.0,0.195,0,0.7650911044559561,0.4230364417823824,Medium,0.5,0.541045552227978,Medium ESG Risk
67.82,74.7,16,71399,0.0,0.0,0.0,0.0,0.16,0,0.6003398565218018,0.3361359426087207,Low,0.2,0.3881699282609009,Low ESG Risk
55.79,80.36,14,55019,0.0,0.0,1.0,0.0,0.245,0,0.6124182871739879,0.3919673148695952,Low,0.2,0.41970914358699396,Medium ESG Risk
81.74,70.81,15,54124,0.0,1.0,0.0,0.0,0.2,0,0.2155832188482646,0.2062332875393058,Low,0.2,0.2077916094241323,Low ESG Risk
47.44,68.81,4,44655,0.0,0.0,0.0,1.0,0.28,0,0.3944775573121739,0.3257910229248696,Low,0.2,0.32123877865608697,Low ESG Risk
55.89,84.66,12,29701,1.0,0.0,0.0,0.0,0.385,1,0.3482275890652236,0.3702910356260894,Low,0.2,0.32961379453261186,Low ESG Risk
8.66,46.35,14,37311,0.0,0.0,1.0,0.0,0.13,0,0.8937375501497704,0.4354950200599082,Medium,0.5,0.5858687750748852,Medium ESG Risk
