humidity,temperature,age,quantity,producttype_Extruder,producttype_Gauge Machine,producttype_Pressure Cutter,producttype_Pump,failure_risk_score,predicted_failure,environmental_risk_score,final_risk_score,maintenance_priority,esg_impact_score,esg_impact_level
63.64,42.53,16,56914,0.0,0.0,0.0,0.0,0.21,0,0.9096293443285068,0.4898517377314028,Medium,0.629777606597104,Medium ESG Impact
28.1,46.81,10,28351,1.0,0.0,0.0,0.0,0.265,0,0.5025269717965691,0.3600107887186277,Low,0.40751618307794146,Medium ESG Impact
18.76,56.26,11,41714,0.0,1.0,0.0,0.0,0.115,0,0.4672672917366832,0.2559069166946733,Low,0.3263603750420099,Low ESG Impact
12.11,73.86,8,71959,0.0,0.0,1.0,0.0,0.175,0,0.6433957007422776,0.362358280296911,Low,0.45603742044536655,Medium ESG Impact
81.95,36.9,13,52770,0.0,0.0,0.0,1.0,0.38,1,0.94640316324732,0.6065612652989281,Medium,0.719841897948392,High ESG Impact
38.77,80.57,3,66563,0.0,0.0,0.0,1.0,0.095,0,0.55427460387135,0.27870984154854,Low,0.37056476232281,Low ESG Impact
91.0,39.49,3,27583,1.0,0.0,0.0,0.0,0.125,0,0.6849542476160794,0.3489816990464318,Low,0.4609725485696476,Medium ESG Impact
92.19,71.27,8,36943,0.0,0.0,0.0,1.0,0.15,0,0.6957042380970544,0.3682816952388218,Low,0.4774225428582326,Medium ESG Impact
51.02,72.15,7,44555,0.0,0.0,1.0,0.0,0.165,0,0.7183189409479384,0.3863275763791753,Low,0.496991364568763,Medium ESG Impact
46.11,61.73,10,63981,0.0,1.0,0.0,0.0,0.065,0,0.7848967980632106,0.3529587192252842,Low,0.49693807883792634,Medium ESG Impact
15.16,78.63,13,40401,0.0,0.0,0.0,1.0,0.14,0,0.3721791095824724,0.2328716438329889,Low,0.27930746574948345,Low ESG Impact
85.79,88.04,11,52899,0.0,0.0,0.0,0.0,0.135,0,0.5587639876745008,0.3045055950698003,Low,0.3892583926047004,Low ESG Impact
27.31,67.28,8,64307,0.0,0.0,0.0,0.0,0.18,0,0.5553666086561306,0.3301466434624522,Low,0.40521996519367837,Medium ESG Impact
83.85,90.89,14,64751,0.0,0.0,1.0,0.0,0.15,0,0.6301474225241744,0.3420589690096698,Low,0.43808845351450465,Medium ESG Impact
6.64,36.78,15,78138,0.0,1.0,0.0,0.0,0.245,0,1.0,0.547,Medium,0.698,Medium ESG Impact
59.73,81.47,4,40173,0.0,0.0,0.0,1.0,0.35,1,0.7134781675349504,0.4953912670139802,Medium,0.5680869005209702,Medium ESG Impact
51.72,85.45,8,26617,0.0,1.0,0.0,0.0,0.265,0,0.6154796197828144,0.4051918479131258,Medium,0.4752877718696886,Medium ESG Impact
19.31,61.66,12,52474,0.0,0.0,0.0,0.0,0.135,0,0.7170229711328772,0.3678091884531509,Low,0.48421378267972626,Medium ESG Impact
74.62,87.63,5,38408,0.0,0.0,0.0,0.0,0.19,0,0.5308402800615468,0.3263361120246187,Low,0.3945041680369281,Low ESG Impact
54.39,52.66,8,53297,0.0,1.0,0.0,0.0,0.08,0,0.9311578194493616,0.4204631277797446,Medium,0.590694691669617,Medium ESG Impact
62.63,61.77,11,32097,0.0,1.0,0.0,0.0,0.29,0,0.4234111003078386,0.3433644401231354,Low,0.3700466601847031,Low ESG Impact
76.16,52.69,5,57338,0.0,1.0,0.0,0.0,0.21,0,0.3536948568119582,0.2674779427247833,Low,0.29621691408717493,Low ESG Impact
85.49,36.94,10,46400,0.0,1.0,0.0,0.0,0.295,0,0.8876193711962461,0.5320477484784985,Medium,0.6505716227177476,Medium ESG Impact
90.54,60.87,15,70027,1.0,0.0,0.0,0.0,0.42,1,0.6905876277992922,0.5282350511197169,Medium,0.5823525766795753,Medium ESG Impact
53.48,80.14,14,78686,0.0,0.0,0.0,1.0,0.12,0,0.4653524946505123,0.2581409978602049,Low,0.32721149679030737,Low ESG Impact
81.76,85.41,17,44776,0.0,0.0,0.0,1.0,0.16,0,0.6673807514982765,0.3629523005993106,Low,0.4644284508989659,Medium ESG Impact
6.04,73.71,6,47885,0.0,0.0,0.0,1.0,0.255,0,0.7450368333965639,0.4510147333586255,Medium,0.5490221000379384,Medium ESG Impact
91.19,74.36,16,43592,0.0,0.0,0.0,0.0,0.425,1,0.5255119888976445,0.4652047955590578,Medium,0.48530719333858674,Medium ESG Impact
5.11,46.28,13,72925,0.0,0.0,0.0,0.0,0.245,0,0.9937443867246252,0.5444977546898501,Medium,0.6942466320347751,Medium ESG Impact
17.15,66.79,17,48522,0.0,0.0,0.0,1.0,0.195,0,0.5321454931331844,0.3298581972532737,Low,0.39728729587991063,Low ESG Impact
46.64,84.59,2,48466,1.0,0.0,0.0,0.0,0.36,1,0.7914483053430444,0.5325793221372178,Medium,0.6188689832058266,Medium ESG Impact
29.69,77.24,15,24003,1.0,0.0,0.0,0.0,0.215,0,0.9775380123469658,0.5200152049387863,Medium,0.6725228074081794,Medium ESG Impact
74.98,66.3,14,29358,0.0,1.0,0.0,0.0,0.115,0,0.5768402954574282,0.2997361181829713,Low,0.3921041772744569,Low ESG Impact
70.5,51.91,13,45568,1.0,0.0,0.0,0.0,0.1,0,0.6332256536793562,0.3132902614717425,Low,0.4199353922076138,Medium ESG Impact
58.1,55.12,10,46762,1.0,0.0,0.0,0.0,0.14,0,0.5069341253323799,0.286773650132952,Low,0.36016047519942795,Low ESG Impact
36.06,40.43,5,66715,1.0,0.0,0.0,0.0,0.285,0,0.6616501950726005,0.4356600780290401,Medium,0.5109901170435602,Medium ESG Impact
84.52,83.01,10,33110,1.0,0.0,0.0,0.0,0.06,0,0.4188353459643816,0.2035341383857526,Low,0.27530120757862897,Low ESG Impact
45.66,84.39,1,24009,0.0,0.0,0.0,1.0,0.205,0,0.4120201917289052,0.287808076691562,Low,0.3292121150373431,Low ESG Impact
42.76,90.22,16,70347,0.0,0.0,1.0,0.0,0.11,0,0.6483898977802665,0.3253559591121066,Low,0.43303393866815987,Medium ESG Impact
48.32,36.18,13,67379,0.0,0.0,1.0,0.0,0.265,0,0.4622802553582364,0.3439121021432946,Low,0.3833681532149419,Low ESG Impact
77.1,54.21,2,76658,0.0,1.0,0.0,0.0,0.255,0,0.5124531869767105,0.3579812747906842,Low,0.4094719121860263,Medium ESG Impact
61.54,79.38,16,47533,0.0,0.0,0.0,0.0,0.33,1,0.5419179573916129,0.4147671829566451,Medium,0.4571507744349677,Medium ESG Impact
66.8,35.94,14,48998,0.0,0.0,0.0,1.0,0.47,1,0.3285454441339501,0.41341817765358,Medium,0.38512726648037005,Low ESG Impact
27.48,90.39,1,43535,0.0,0.0,1.0,0.0,0.125,0,0.560640569145467,0.2992562276581868,Low,0.3863843414872802,Low ESG Impact
24.47,50.53,11,76409,0.0,0.0,0.0,0.0,0.43,1,0.4850655573824159,0.4520262229529663,Medium,0.46303933442944956,Medium ESG Impact
31.92,70.47,14,37277,0.0,1.0,0.0,0.0,0.085,0,0.5845326136053148,0.2848130454421259,Low,0.38471956816318886,Low ESG Impact
14.79,57.47,7,73497,0.0,1.0,0.0,0.0,0.51,1,0.5231239184916162,0.5152495673966465,Medium,0.5178743510949697,Medium ESG Impact
54.06,42.1,3,23571,0.0,0.0,0.0,1.0,0.395,1,0.5590341003306587,0.4606136401322634,Medium,0.49342046019839525,Medium ESG Impact
7.34,55.62,11,56152,1.0,0.0,0.0,0.0,0.175,0,0.3612229462757565,0.2494891785103026,Low,0.2867337677654539,Low ESG Impact
62.24,79.47,14,67968,0.0,0.0,0.0,0.0,0.17,0,0.7131107894608147,0.3872443157843259,Low,0.49586647367648884,Medium ESG Impact
38.11,76.14,16,47846,0.0,0.0,0.0,0.0,0.265,0,0.527566185740022,0.3700264742960088,Low,0.42253971144401326,Medium ESG Impact
95.42,94.48,15,73303,0.0,1.0,0.0,0.0,0.24,0,0.980753857156584,0.5363015428626337,Medium,0.6844523142939504,Medium ESG Impact
86.71,67.29,14,26451,1.0,0.0,0.0,0.0,0.245,0,0.5479366766129404,0.3661746706451761,Low,0.42676200596776426,Medium ESG Impact
69.98,35.05,17,35546,0.0,1.0,0.0,0.0,0.305,1,0.696762786042039,0.4617051144168156,Medium,0.5400576716252234,Medium ESG Impact
86.28,42.4,6,61016,0.0,1.0,0.0,0.0,0.355,1,0.5117477542697694,0.4176991017079077,Medium,0.44904865256186155,Medium ESG Impact
56.95,75.37,6,71437,0.0,0.0,1.0,0.0,0.09,0,0.5931083355913815,0.2912433342365526,Low,0.3918650013548289,Low ESG Impact
49.45,55.43,7,23581,0.0,1.0,0.0,0.0,0.205,0,0.5728153952100812,0.3521261580840324,Low,0.4256892371260487,Medium ESG Impact
84.62,55.57,13,61201,0.0,1.0,0.0,0.0,0.295,0,0.5117477542697694,0.3816991017079078,Low,0.4250486525618616,Medium ESG Impact
37.23,80.71,4,69823,0.0,0.0,1.0,0.0,0.065,0,0.6052718016231525,0.281108720649261,Low,0.3891630809738915,Low ESG Impact
19.44,39.44,5,29218,0.0,0.0,1.0,0.0,0.23,0,0.5812946778300982,0.3705178711320393,Low,0.44077680669805896,Medium ESG Impact
18.06,49.25,2,40722,0.0,0.0,1.0,0.0,0.145,0,0.4712463794986022,0.2754985517994409,Low,0.3407478276991613,Low ESG Impact
54.63,72.72,2,78975,0.0,0.0,0.0,1.0,0.395,1,0.9708374254929016,0.6253349701971607,Medium,0.740502455295741,High ESG Impact
36.43,90.2,7,36673,0.0,0.0,0.0,0.0,0.33,1,0.7861125553873236,0.5124450221549295,Medium,0.6036675332323942,Medium ESG Impact
35.38,72.66,3,70118,0.0,1.0,0.0,0.0,0.265,0,0.7579379429510964,0.4621751771804385,Medium,0.5607627657706579,Medium ESG Impact
46.04,44.93,7,50255,0.0,0.0,0.0,1.0,0.215,0,0.5538564449496838,0.3505425779798735,Low,0.41831386696981027,Medium ESG Impact
44.43,79.4,11,53703,0.0,0.0,0.0,1.0,0.21,0,0.6719399497536017,0.3947759799014407,Low,0.48716396985216104,Medium ESG Impact
64.49,57.8,3,42208,1.0,0.0,0.0,0.0,0.31,1,0.4279502322214789,0.3571800928885915,Low,0.38077013933288734,Low ESG Impact
21.94,72.9,2,65276,0.0,0.0,0.0,0.0,0.35,1,0.4593206615537776,0.393728264621511,Low,0.4155923969322666,Medium ESG Impact
29.58,91.04,12,35039,0.0,0.0,0.0,0.0,0.295,0,0.4909947412198568,0.3733978964879427,Low,0.41259684473191405,Medium ESG Impact
40.4,75.07,6,31698,0.0,0.0,0.0,0.0,0.22,0,0.5378324541795977,0.3471329816718391,Low,0.4106994725077586,Medium ESG Impact
42.56,49.6,14,25195,0.0,0.0,1.0,0.0,0.135,0,0.6065073588004598,0.3236029435201839,Low,0.4179044152802759,Medium ESG Impact
98.33,54.0,10,24959,0.0,0.0,0.0,0.0,0.285,0,0.3809690622004317,0.3233876248801727,Low,0.34258143732025903,Low ESG Impact
70.65,67.46,14,40243,0.0,0.0,1.0,0.0,0.37,1,0.6769943272909863,0.4927977309163945,Medium,0.5541965963745917,Medium ESG Impact
88.09,50.38,7,25512,0.0,0.0,0.0,1.0,0.11,0,0.6831424313207378,0.3392569725282951,Low,0.4538854587924427,Medium ESG Impact
8.46,50.08,4,74602,0.0,1.0,0.0,0.0,0.27,0,0.6260527453512512,0.4124210981405005,Medium,0.4836316472107507,Medium ESG Impact
37.79,40.94,10,36420,1.0,0.0,0.0,0.0,0.165,0,0.3511798152217798,0.2394719260887119,Low,0.2767078891330679,Low ESG Impact
38.28,37.14,12,77391,0.0,0.0,0.0,1.0,0.185,0,0.4790129449756664,0.3026051779902665,Low,0.36140776698539984,Low ESG Impact
29.65,77.11,4,59841,1.0,0.0,0.0,0.0,0.115,0,0.599366884783146,0.3087467539132584,Low,0.4056201308698876,Medium ESG Impact
86.92,58.06,4,61109,0.0,0.0,0.0,1.0,0.285,0,0.5079697672149173,0.3741879068859669,Low,0.4187818603289503,Medium ESG Impact
68.08,60.27,8,23961,0.0,0.0,0.0,0.0,0.195,0,0.3625014826031969,0.2620005930412787,Low,0.29550088956191817,Low ESG Impact
98.96,86.47,2,57481,0.0,0.0,1.0,0.0,0.47,1,0.3236051671448068,0.4114420668579227,Medium,0.38216310028688405,Low ESG Impact
52.08,78.42,1,43471,1.0,0.0,0.0,0.0,0.29,0,0.4392395736130901,0.349695829445236,Low,0.379543744167854,Low ESG Impact
39.27,67.12,10,54440,1.0,0.0,0.0,0.0,0.455,1,0.5581267962520223,0.4962507185008089,Medium,0.5168760777512134,Medium ESG Impact
35.38,62.08,8,32261,1.0,0.0,0.0,0.0,0.21,0,0.3720323009858372,0.2748129203943349,Low,0.30721938059150233,Low ESG Impact
31.06,71.81,3,26374,1.0,0.0,0.0,0.0,0.2,0,0.530094733748769,0.3320378934995076,Low,0.3980568402492614,Low ESG Impact
43.08,89.69,11,41813,0.0,0.0,0.0,1.0,0.22,0,0.3504241445594668,0.2721696578237867,Low,0.29825448673568006,Low ESG Impact
97.07,70.55,5,29504,0.0,0.0,0.0,0.0,0.32,1,0.4850310131539541,0.3860124052615816,Low,0.41901860789237244,Medium ESG Impact
62.76,45.73,10,49331,0.0,0.0,0.0,1.0,0.2,0,0.4282643691324326,0.291305747652973,Low,0.33695862147945954,Low ESG Impact
39.73,78.62,7,35641,0.0,0.0,1.0,0.0,0.275,0,0.3970048638900001,0.323801945556,Low,0.3482029183340001,Low ESG Impact
10.97,61.54,15,66498,0.0,0.0,0.0,0.0,0.235,0,0.4306878062508512,0.3132751225003405,Low,0.3524126837505107,Low ESG Impact
87.8,77.42,7,71690,1.0,0.0,0.0,0.0,0.175,0,0.5706892588532263,0.3332757035412905,Low,0.4124135553119358,Medium ESG Impact
25.35,45.16,9,56467,0.0,1.0,0.0,0.0,0.48,1,0.511586174836974,0.4926344699347896,Medium,0.4989517049021844,Medium ESG Impact
11.66,76.95,2,61412,0.0,1.0,0.0,0.0,0.37,1,0.7900940586518601,0.538037623460744,Medium,0.6220564351911161,Medium ESG Impact
64.27,80.07,4,34759,0.0,1.0,0.0,0.0,0.34,1,0.6614327098058692,0.4685730839223477,Medium,0.5328596258835215,Medium ESG Impact
49.99,65.28,4,36897,0.0,1.0,0.0,0.0,0.35,1,0.5411137834057723,0.4264455133623089,Medium,0.46466827004346334,Medium ESG Impact
75.12,43.35,13,78566,0.0,0.0,0.0,0.0,0.105,0,0.6082821265208814,0.3063128506083525,Low,0.40696927591252885,Medium ESG Impact
62.53,55.99,5,66153,0.0,1.0,0.0,0.0,0.17,0,0.33649325910728,0.236597303642912,Low,0.269895955464368,Low ESG Impact
32.92,67.64,16,79025,0.0,0.0,0.0,0.0,0.19,0,0.7069659307341558,0.3967863722936623,Low,0.5001795584404936,Medium ESG Impact
63.72,57.06,12,23232,0.0,0.0,0.0,0.0,0.125,0,0.6644730688844214,0.3407892275537685,Low,0.4486838413306528,Medium ESG Impact
47.03,51.54,6,54014,1.0,0.0,0.0,0.0,0.12,0,0.4608460824420611,0.2563384329768244,Low,0.32450764946523664,Low ESG Impact
55.84,62.58,14,30028,0.0,0.0,0.0,1.0,0.085,0,0.811269630214421,0.3755078520857684,Low,0.5207617781286525,Medium ESG Impact
11.72,70.75,10,41264,0.0,0.0,1.0,0.0,0.365,1,0.8894492509258356,0.5747797003703342,Medium,0.6796695505555014,Medium ESG Impact
86.22,86.28,15,58330,0.0,0.0,0.0,1.0,0.175,0,0.5879918476262249,0.3401967390504899,Low,0.42279510857573493,Medium ESG Impact
47.59,58.28,11,30617,1.0,0.0,0.0,0.0,0.17,0,0.5794429903102553,0.3337771961241021,Low,0.4156657941861531,Medium ESG Impact
7.03,53.61,16,38902,0.0,0.0,0.0,1.0,0.235,0,0.806858975301305,0.463743590120522,Medium,0.578115385180783,Medium ESG Impact
76.75,86.02,5,53877,0.0,0.0,0.0,1.0,0.28,0,0.4474967420602259,0.3469986968240903,Low,0.3804980452361355,Low ESG Impact
43.55,42.61,5,29097,0.0,0.0,1.0,0.0,0.14,0,0.4223497348692772,0.2529398939477109,Low,0.3094098409215663,Low ESG Impact
28.3,71.0,13,72521,0.0,0.0,0.0,1.0,0.165,0,0.6350864968380608,0.3530345987352243,Low,0.4470518981028365,Medium ESG Impact
63.17,47.12,12,40619,0.0,0.0,0.0,1.0,0.125,0,0.4985220790574904,0.2744088316229962,Low,0.34911324743449423,Low ESG Impact
52.48,52.15,12,26779,0.0,0.0,0.0,1.0,0.115,0,0.3438986453904027,0.206559458156161,Low,0.25233918723424165,Low ESG Impact
78.07,49.26,14,46075,0.0,0.0,0.0,1.0,0.115,0,0.6059360321519276,0.311374412860771,Low,0.40956161929115653,Medium ESG Impact
45.44,85.89,5,23282,0.0,0.0,1.0,0.0,0.34,1,0.9246069136915196,0.5738427654766078,Medium,0.6907641482149117,Medium ESG Impact
99.25,54.93,16,74466,1.0,0.0,0.0,0.0,0.16,0,0.4259226776890729,0.2663690710756291,Low,0.31955360661344373,Low ESG Impact
68.15,39.06,4,61597,0.0,0.0,0.0,1.0,0.395,1,0.734268665073744,0.5307074660294976,Medium,0.5985611990442464,Medium ESG Impact
73.26,80.93,9,48024,0.0,0.0,0.0,1.0,0.305,1,0.4539105347895068,0.3645642139158027,Low,0.3943463208737041,Low ESG Impact
65.8,68.06,6,33547,1.0,0.0,0.0,0.0,0.19,0,0.6948697750540701,0.391947910021628,Low,0.49292186503244206,Medium ESG Impact
67.2,85.76,12,73861,0.0,0.0,0.0,1.0,0.165,0,0.4208135807337876,0.267325432293515,Low,0.31848814844027257,Low ESG Impact
74.61,84.23,3,46278,1.0,0.0,0.0,0.0,0.285,0,0.8854788640446509,0.5251915456178604,Medium,0.6452873184267905,Medium ESG Impact
92.06,52.0,15,49083,0.0,0.0,0.0,0.0,0.305,1,0.4966627099718016,0.3816650839887207,Low,0.41999762598308094,Medium ESG Impact
53.57,60.67,14,50615,0.0,1.0,0.0,0.0,0.285,0,0.4964491318935407,0.3695796527574163,Low,0.4118694791361244,Medium ESG Impact
9.72,52.7,6,35432,0.0,1.0,0.0,0.0,0.12,0,0.423072073001599,0.2412288292006396,Low,0.3018432438009594,Low ESG Impact
8.28,83.43,15,69630,0.0,1.0,0.0,0.0,0.45,1,0.6360870904484798,0.524434836179392,Medium,0.5616522542690878,Medium ESG Impact
11.03,47.26,14,53295,0.0,1.0,0.0,0.0,0.44,1,0.5138292068752529,0.4695316827501011,Medium,0.4842975241251517,Medium ESG Impact
89.95,51.29,7,34726,1.0,0.0,0.0,0.0,0.1,0,0.4527137944588967,0.2410855177835587,Low,0.311628276675338,Low ESG Impact
87.07,65.51,16,30420,0.0,0.0,0.0,0.0,0.355,1,0.3926583547902636,0.3700633419161054,Low,0.37759501287415814,Low ESG Impact
6.24,64.32,4,29450,0.0,0.0,0.0,0.0,0.56,1,0.2607950239708525,0.440318009588341,Medium,0.3804770143825116,Low ESG Impact
57.01,57.31,9,68246,0.0,0.0,0.0,0.0,0.345,1,0.922867652525574,0.5761470610102296,Medium,0.6917205915153444,Medium ESG Impact
55.15,65.43,13,75729,1.0,0.0,0.0,0.0,0.105,0,0.3940769402738593,0.2206307761095437,Low,0.27844616416431556,Low ESG Impact
29.84,45.52,14,68336,0.0,0.0,0.0,1.0,0.135,0,0.3489127287755395,0.2205650915102158,Low,0.26334763726532373,Low ESG Impact
61.82,49.16,12,63057,1.0,0.0,0.0,0.0,0.13,0,0.5916908643549216,0.3146763457419686,Low,0.4070145186129529,Medium ESG Impact
24.41,43.65,3,34483,0.0,1.0,0.0,0.0,0.315,1,0.4989302240035722,0.3885720896014288,Low,0.4253581344021433,Medium ESG Impact
99.88,83.38,11,76795,0.0,0.0,1.0,0.0,0.505,1,0.573091147064131,0.5322364588256524,Medium,0.5458546882384786,Medium ESG Impact
36.67,42.63,10,48993,0.0,0.0,0.0,1.0,0.1,0,0.7227151018139892,0.3490860407255957,Low,0.47362906108839353,Medium ESG Impact
42.53,67.3,14,28359,1.0,0.0,0.0,0.0,0.23,0,0.8502335652650838,0.4780934261060335,Medium,0.6021401391590502,Medium ESG Impact
80.91,79.81,13,57232,0.0,0.0,0.0,0.0,0.38,1,0.3953792055885218,0.3861516822354087,Low,0.38922752335311306,Low ESG Impact
59.6,69.2,14,25881,1.0,0.0,0.0,0.0,0.2,0,0.2685602777082818,0.2274241110833127,Low,0.2411361666249691,Low ESG Impact
69.23,48.98,15,33983,0.0,0.0,0.0,0.0,0.11,0,0.3424280531748441,0.2029712212699376,Low,0.24945683190490647,Low ESG Impact
62.56,76.26,7,42979,0.0,0.0,1.0,0.0,0.24,0,0.3767519360827526,0.294700774433101,Low,0.32205116164965153,Low ESG Impact
83.79,87.11,13,25991,1.0,0.0,0.0,0.0,0.055,0,0.3748420499621138,0.1829368199848455,Low,0.24690522997726827,Low ESG Impact
12.96,51.33,10,52503,0.0,0.0,0.0,1.0,0.215,0,0.2508099371661585,0.2293239748664634,Low,0.2364859622996951,Low ESG Impact
50.96,74.43,16,39696,0.0,1.0,0.0,0.0,0.285,0,0.7225903674005747,0.4600361469602299,Medium,0.5475542204403447,Medium ESG Impact
42.2,49.28,5,27499,0.0,0.0,1.0,0.0,0.13,0,0.2411112977116711,0.1744445190846684,Low,0.19666677862700266,Low ESG Impact
75.71,55.54,16,47979,1.0,0.0,0.0,0.0,0.255,0,0.7791634863006403,0.4646653945202561,Medium,0.5694980917803841,Medium ESG Impact
92.95,60.33,10,38205,0.0,1.0,0.0,0.0,0.275,0,0.4923488132974138,0.3619395253189655,Low,0.40540928797844833,Medium ESG Impact
27.94,47.54,1,33073,0.0,0.0,0.0,0.0,0.095,0,0.3996689391381504,0.2168675756552601,Low,0.2778013634828902,Low ESG Impact
32.65,43.1,11,23721,0.0,0.0,1.0,0.0,0.14,0,0.1878808896491477,0.1591523558596591,Low,0.16872853378948863,Low ESG Impact
8.19,92.65,11,60821,0.0,1.0,0.0,0.0,0.175,0,0.206657816861522,0.1876631267446087,Low,0.19399469011691317,Low ESG Impact
34.81,48.06,16,35635,0.0,1.0,0.0,0.0,0.19,0,0.3298448898351362,0.2459379559340545,Low,0.27390693390108173,Low ESG Impact
51.89,66.04,9,57791,0.0,0.0,0.0,1.0,0.14,0,0.1878808896491477,0.1591523558596591,Low,0.16872853378948863,Low ESG Impact
13.19,55.84,3,29655,0.0,0.0,0.0,1.0,0.29,0,0.2810255227798885,0.2864102091119554,Low,0.28461531366793313,Low ESG Impact
59.46,78.68,2,56417,0.0,1.0,0.0,0.0,0.225,0,0.4159060065808118,0.3013624026323247,Low,0.3395436039484871,Low ESG Impact
9.55,90.95,14,79736,1.0,0.0,0.0,0.0,0.26,0,0.8600421711845033,0.5000168684738013,Medium,0.620025302710702,Medium ESG Impact
50.83,89.48,11,28196,0.0,0.0,1.0,0.0,0.135,0,0.2616563467424733,0.1856625386969893,Low,0.21099380804548395,Low ESG Impact
72.44,61.29,14,32610,0.0,0.0,0.0,1.0,0.195,0,0.7650911044559561,0.4230364417823824,Medium,0.5370546626735737,Medium ESG Impact
67.82,74.7,16,71399,0.0,0.0,0.0,0.0,0.16,0,0.6003398565218018,0.3361359426087207,Low,0.42420391391308104,Medium ESG Impact
55.79,80.36,14,55019,0.0,0.0,1.0,0.0,0.245,0,0.6124182871739879,0.3919673148695952,Low,0.4654509723043928,Medium ESG Impact
81.74,70.81,15,54124,0.0,1.0,0.0,0.0,0.2,0,0.2155832188482646,0.2062332875393058,Low,0.20934993130895876,Low ESG Impact
47.44,68.81,4,44655,0.0,0.0,0.0,1.0,0.28,0,0.3944775573121739,0.3257910229248696,Low,0.34868653438730435,Low ESG Impact
55.89,84.66,12,29701,1.0,0.0,0.0,0.0,0.385,1,0.3482275890652236,0.3702910356260894,Low,0.3629365534391342,Low ESG Impact
8.66,46.35,14,37311,0.0,0.0,1.0,0.0,0.13,0,0.8937375501497704,0.4354950200599082,Medium,0.5882425300898623,Medium ESG Impact
32.56,53.24,11,25517,1.0,0.0,0.0,0.0,0.115,0,0.5061232933694478,0.2714493173477791,Low,0.34967397602166866,Low ESG Impact
27.06,38.28,2,75157,0.0,1.0,0.0,0.0,0.26,0,0.1873324966808895,0.2309329986723557,Low,0.2163994980085337,Low ESG Impact
40.59,62.89,16,67898,1.0,0.0,0.0,0.0,0.12,0,0.5292684428194161,0.2837073771277664,Low,0.36556106569164964,Low ESG Impact
16.58,77.38,14,66910,1.0,0.0,0.0,0.0,0.085,0,0.3978431129908026,0.210137245196321,Low,0.2727058677944816,Low ESG Impact
60.23,42.17,8,45465,0.0,0.0,0.0,1.0,0.245,0,0.2597383152410629,0.2508953260964252,Low,0.25384298914463777,Low ESG Impact
36.94,59.74,16,76259,0.0,0.0,0.0,0.0,0.37,1,0.5617823696197364,0.4467129478478945,Medium,0.48506942177184176,Medium ESG Impact
70.66,68.55,6,30943,1.0,0.0,0.0,0.0,0.115,0,0.2975179458179334,0.1880071783271733,Low,0.22451076749076004,Low ESG Impact
83.1,87.41,5,60553,0.0,0.0,1.0,0.0,0.305,1,0.3162252955797953,0.3094901182319181,Low,0.31173517734787715,Low ESG Impact
69.94,92.27,3,57964,1.0,0.0,0.0,0.0,0.205,0,0.4507717363035455,0.3033086945214182,Low,0.3524630417821273,Low ESG Impact
